"CAS#","Pollutant","Acute Toxic Endpoints","Subchronic Toxic Endpoints","Chronic Non-cancer Endpoints","Multimedia Factor Chemicals","Persistent Bioaccumulative Toxicants","Respiratory Sensitizers","Developmental Toxicants"
"123-77-3","Azodicarbonamide",NA,"Resp","Resp",FALSE,FALSE,FALSE,FALSE
"199-54-2","Benz[e]aceanthrylene",NA,"",NA,FALSE,TRUE,FALSE,FALSE
"202-33-5","Benz[j]aceanthryIene",NA,"",NA,FALSE,TRUE,FALSE,FALSE
"211-91-6","Benz[l]aceanthryIene",NA,"",NA,FALSE,TRUE,FALSE,FALSE
"100-52-7","Benzaldehyde","Ethanol specific",NA,"Ethanol specific",NA,NA,NA,NA
"71-43-2","Benzene","Repro","Blood","Blood",FALSE,FALSE,FALSE,FALSE
"92-87-5","Benzidine",NA,"",NA,FALSE,FALSE,FALSE,TRUE
"205-82-3","Benzo(j)fluoranthene",NA,"",NA,FALSE,TRUE,FALSE,FALSE
"207-08-09","Benzo(k)fluoranthene",NA,"",NA,FALSE,TRUE,FALSE,FALSE
"56-55-3","Benzo[a]anthracene",NA,"",NA,TRUE,TRUE,FALSE,FALSE
"50-32-8","Benzo[a]pyrene",NA,"",NA,TRUE,TRUE,FALSE,FALSE
"205-99-2","Benzo[b]fluoranthene",NA,"",NA,TRUE,TRUE,FALSE,FALSE
"205-12-9","Benzo[c]fluorene",NA,"",NA,TRUE,TRUE,FALSE,FALSE
"191-24-2","Benzo[g,h,i]perylene",NA,"",NA,FALSE,TRUE,FALSE,FALSE
"100-44-7","Benzyl chloride","Resp , Eyes","Systemic","Systemic",FALSE,TRUE,FALSE,FALSE
"7440-41-7","Beryllium",NA,"","Blood, Resp",FALSE,FALSE,FALSE,FALSE
"0-00-3","Beryllium Compounds",NA,"","Blood, Resp",FALSE,FALSE,TRUE,FALSE
"92-52-4","Biphenyl, 1,1-",NA,"Resp",NA,FALSE,FALSE,TRUE,FALSE
"117-81-7","Bis(2-ethylhexyl)phthalate (DEHP)",NA,"",NA,FALSE,FALSE,FALSE,FALSE
"542-88-1","Bis(chloromethyl)ether",NA,"",NA,FALSE,FALSE,FALSE,FALSE
"10294-34-5","Boron Trichloride",NA,"Resp","Resp",FALSE,FALSE,FALSE,FALSE
"108-86-1","Bromobenzene",NA,"Liver, Kidney, Resp","Liver, Kidney, Resp",FALSE,FALSE,FALSE,FALSE
"74-97-5","Bromochloromethane",NA,"Liver",NA,FALSE,FALSE,FALSE,FALSE
"75-25-2","Bromoform",NA,"",NA,FALSE,FALSE,FALSE,FALSE
"106-94-5","Bromopropane, 1-","Repro","Neuro","Resp",FALSE,FALSE,FALSE,FALSE
"106-99-0","Butadiene, 1,3-","Repro","","Repro",FALSE,FALSE,FALSE,TRUE
"71-36-3","Butanol","Ethanol specific",NA,"Ethanol specific",NA,NA,NA,NA
"78-92-2","Butyl alcohol, sec-",NA,"Repro","Repro",FALSE,FALSE,FALSE,FALSE
"111-76-2","Butyl Cellosolve (ethylene glycol monobutyl ether)","Resp , Eyes","","Blood",FALSE,FALSE,FALSE,TRUE
"123-72-8","Butyraldehyde","Ethanol specific",NA,"Ethanol specific",NA,NA,NA,NA
"7440-43-9","Cadmium",NA,"","Kidney, Resp",FALSE,FALSE,FALSE,FALSE
"0-00-4","Cadmium Compounds",NA,"","Kidney, Resp",FALSE,FALSE,FALSE,FALSE
"105-60-2","Caprolactum","Eyes","","Resp",FALSE,FALSE,FALSE,FALSE
"75-15-0","Carbon disulfide","Repro","","Neuro",FALSE,FALSE,FALSE,FALSE
"630-08-0","Carbon Monoxide","Cardio","",NA,FALSE,FALSE,FALSE,TRUE
"56-23-5","Carbon tetrachloride","Repro , Neuro , Liver , Digest","","Digest, Repro, Neuro",FALSE,FALSE,FALSE,FALSE
"111-15-9","Cellosolve Acetate (ethylene glycol monoethyl ether acetate)","Repro","Repro","Repro",FALSE,FALSE,FALSE,FALSE
"1306-38-3","Cerium Oxide and Cerium Compounds",NA,"","Resp",FALSE,FALSE,FALSE,TRUE
"12789-03-6","Chlordane or (57-74-9)",NA,"Liver","Liver",FALSE,FALSE,FALSE,FALSE
"108171-26-2","Chlorinated Paraffins (C12, 60% Chlorine)",NA,"",NA,TRUE,TRUE,FALSE,FALSE
"7782-50-5","Chlorine","Resp","","Resp",FALSE,FALSE,FALSE,FALSE
"10049-04-4","Chlorine Oxide (CLO2)",NA,"Resp","Resp",FALSE,FALSE,FALSE,FALSE
"75-68-3","Chloro-1,1-difluoroethane, 1- (HCFC-142b)",NA,"","Systemic",FALSE,FALSE,FALSE,FALSE
"95-83-0","Chloro-o-phenylenediamine, 4-",NA,"",NA,FALSE,FALSE,FALSE,FALSE
"95-69-2","Chloro-o-toluidine, p-",NA,"",NA,FALSE,FALSE,FALSE,FALSE
"532-27-4","Chloroacetophenone, 2-",NA,"","Resp",FALSE,FALSE,FALSE,FALSE
"108-90-7","Chlorobenzene",NA,"Liver","Digest, Kidney, Repro",FALSE,FALSE,FALSE,FALSE
"98-56-6","Chlorobenzotrifluoride, 4-",NA,"Liver","Liver, Blood",FALSE,FALSE,FALSE,FALSE
"75-45-6","Chlorodifluoromethane (HCFC-22)",NA,"","Kidney, Repro",FALSE,FALSE,FALSE,FALSE
"67-66-3","Chloroform","Repro","","Digest, Kidney, Repro",FALSE,FALSE,FALSE,FALSE
"100-00-5","Chloronitrobenzene, p-",NA,"Liver, Blood","Blood",FALSE,FALSE,FALSE,FALSE
"76-06-2","Chloropicrin","Resp , Eyes","","Resp",FALSE,FALSE,FALSE,FALSE
"126-99-8","Chloroprene",NA,"","Resp, Blood",FALSE,FALSE,FALSE,FALSE
"18540-29-9","Chromic acid mists and dissolved Cr(VI) aerosols",NA,"Resp","Resp",FALSE,FALSE,FALSE,FALSE
"18540-29-9","Chromic acid mists and dissolved Cr(VI) aerosols",NA,"Resp","Resp",FALSE,FALSE,FALSE,FALSE
"7440-47-3","Chromium",NA,"Resp","Resp",FALSE,FALSE,FALSE,FALSE
"18540-29-9","Chromium (Hexavalent) (particulate)",NA,"Resp","Resp",FALSE,FALSE,FALSE,FALSE
"18540-29-9","Chromium (Hexavalent) (particulate)",NA,"Resp","Resp",FALSE,FALSE,FALSE,FALSE
"0-00-5","Chromium Compounds",NA,"Resp","Resp",FALSE,FALSE,FALSE,FALSE
"218-01-9","Chrysene (Benzo(a)phenanthrene)",NA,"",NA,FALSE,FALSE,FALSE,FALSE
"8007-45-2","Coal Tar",NA,"",NA,TRUE,TRUE,FALSE,FALSE
"7440-48-4","Cobalt",NA,"Systemic","Systemic",FALSE,FALSE,FALSE,FALSE
"0-00-7","Coke Oven Emissions",NA,"",NA,FALSE,FALSE,TRUE,FALSE
"7440-50-8","Copper","Resp","",NA,FALSE,FALSE,FALSE,FALSE
"00-03-1","Copper Compounds","Resp","",NA,FALSE,FALSE,FALSE,FALSE
"120-71-8","Cresidine, p-",NA,"",NA,FALSE,FALSE,FALSE,FALSE
"108-39-4","Cresol, m-",NA,"","Neuro",FALSE,FALSE,FALSE,FALSE
"95-48-7","Cresol, o-",NA,"","Neuro",FALSE,FALSE,FALSE,FALSE
"106-44-5","Cresol, p-",NA,"","Neuro",FALSE,FALSE,FALSE,FALSE
"1319-77-3","Cresols/Cresylic acid (isomers and mixture)",NA,"","Neuro",FALSE,FALSE,FALSE,FALSE
"98-82-8","Cumene",NA,"Kidney, Repro","Kidney",FALSE,FALSE,FALSE,FALSE
"135-20-6","Cupferron",NA,"",NA,FALSE,FALSE,FALSE,FALSE
"57-12-5","Cyanide (Cyanide ion, Inorganic cyanides, Isocyanide)","Neuro","","Neuro, Repro",FALSE,FALSE,FALSE,FALSE
"0-00-8","Cyanide Compounds","Neuro","","Neuro, Repro",FALSE,FALSE,FALSE,FALSE
"110-82-7","Cyclohexane",NA,"Repro","Repro",FALSE,FALSE,FALSE,FALSE
"109-94-1","Cyclohexanone",NA,"Systemic","Systemic",FALSE,FALSE,FALSE,FALSE
"27208-37-3","Cyclopenta[c,d]pyrene",NA,"",NA,FALSE,FALSE,FALSE,FALSE
"50-29-3","DDT",NA,"",NA,FALSE,TRUE,FALSE,FALSE
"615-05-4","Diaminoanisole, 2,4-",NA,"",NA,TRUE,TRUE,FALSE,FALSE
"103-33-3","Diazene, Diphenyl",NA,"",NA,FALSE,FALSE,FALSE,FALSE
"226-36-8","Dibenz(a,h)acridine",NA,"",NA,FALSE,FALSE,FALSE,FALSE
"224-42-0","Dibenz(a,j)acridine",NA,"",NA,FALSE,TRUE,FALSE,FALSE
"53-70-3","Dibenz[a,h]anthracene",NA,"",NA,FALSE,TRUE,FALSE,FALSE
"192-65-4","Dibenzo(a,e)pyrene",NA,"",NA,FALSE,TRUE,FALSE,FALSE
"189-64-0","Dibenzo(a,h)pyrene",NA,"",NA,FALSE,TRUE,FALSE,FALSE
"191-30-0","Dibenzo(a,l)pyrene",NA,"",NA,FALSE,TRUE,FALSE,FALSE
"194-59-2","Dibenzo(c,g)carbazole, 7H-",NA,"",NA,FALSE,TRUE,FALSE,FALSE
"5385-75-1","Dibenzo[a,e]fluoranthene",NA,"",NA,TRUE,TRUE,FALSE,FALSE
"189-55-9","Dibenzo[a,i]pyrene",NA,"",NA,FALSE,TRUE,FALSE,FALSE
"96-12-8","Dibromo-3-chloropropane, 1,2-",NA,"Repro","Repro",FALSE,TRUE,FALSE,FALSE
"764-41-0","Dichloro-2-butene, 1,4-",NA,"",NA,FALSE,FALSE,FALSE,FALSE
"1476-11-5","Dichloro-2-butene, cis-1,4-",NA,"",NA,FALSE,FALSE,FALSE,FALSE
"106-46-7","Dichlorobenzene(p), 1,4-",NA,"Liver","Liver",FALSE,FALSE,FALSE,FALSE
"25321-22-6","Dichlorobenzenes",NA,"Liver","Liver",FALSE,FALSE,FALSE,FALSE
"91-94-1","Dichlorobenzidene, 3,3-",NA,"",NA,FALSE,FALSE,FALSE,FALSE
"75-71-8","Dichlorodifluoromethane (CFC-12)",NA,"Systemic",NA,FALSE,FALSE,FALSE,FALSE
"111-44-4","Dichloroethyl ether (Bis(2-chloroethyl)ethe",NA,"",NA,FALSE,FALSE,FALSE,FALSE
"75-35-4","Dichloroethylene (1,1-) (Vinylidene chloride)",NA,"","Liver",FALSE,FALSE,FALSE,FALSE
"156-60-5","Dichloroethylene, trans-1,2-",NA,"","Resp",FALSE,FALSE,FALSE,FALSE
"542-75-6","Dichloropropene, 1,3-",NA,"","Resp",FALSE,FALSE,FALSE,FALSE
"62-73-7","Dichlorvos",NA,"","Neuro",FALSE,FALSE,FALSE,FALSE
"77-73-6","Dicyclopentadiene",NA,"Kidney",NA,FALSE,FALSE,FALSE,FALSE
"60-57-1","Dieldrin",NA,"",NA,FALSE,FALSE,FALSE,FALSE
"0-02-4","Diesel exhaust particulate",NA,"","Resp",TRUE,TRUE,FALSE,FALSE
"111-42-2","Diethanolamine",NA,"Systemic","Resp, Blood",FALSE,FALSE,FALSE,FALSE
"112-34-5","Diethylene Glycol Monobutyl Ether",NA,"Liver","Liver",FALSE,FALSE,FALSE,FALSE
"111-90-0","Diethylene Glycol Monoethyl Ether",NA,"Systemic","Skin",FALSE,FALSE,FALSE,FALSE
"75-37-6","Difluoroethane, 1,1-",NA,"","Systemic",FALSE,FALSE,FALSE,FALSE
"108-20-3","Diisopropyl Ether",NA,"Repro","Systemic",FALSE,FALSE,FALSE,TRUE
"60-11-7","Dimethyl aminoazobenzene",NA,"",NA,FALSE,FALSE,FALSE,TRUE
"68-12-2","Dimethyl formamide",NA,"Liver","Liver",FALSE,FALSE,FALSE,FALSE
"108-01-0","Dimethylamino ethanol, 2-",NA,"Resp",NA,FALSE,FALSE,FALSE,FALSE
"57-97-6","Dimethylbenz[a]anthracene, 7,12-",NA,"",NA,FALSE,FALSE,FALSE,FALSE
"57-14-7","Dimethylhydrazine, 1,1-",NA,"Repro",NA,TRUE,TRUE,FALSE,FALSE
"42397-64-8","Dinitropyrene, 1,6- (BaP)",NA,"",NA,FALSE,FALSE,FALSE,FALSE
"42397-65-9","Dinitropyrene, 1,8- (BaP)",NA,"",NA,FALSE,FALSE,FALSE,FALSE
"121-14-2","Dinitrotoluene, 2,4-",NA,"",NA,FALSE,FALSE,FALSE,FALSE
"123-91-1","Dioxane, 1,4- (1,4-Diethylene dioxide)","Eyes , Resp","","Digest, Kidney, Cardio",FALSE,FALSE,FALSE,FALSE
"122-66-7","Diphenylhydrazine, 1,2-",NA,"",NA,FALSE,FALSE,FALSE,FALSE
"106-89-8","Epichlorohydrin (l-Chloro-2,3-epoxypropane)","Resp , Eyes","Resp","Resp",FALSE,FALSE,FALSE,FALSE
"106-88-7","Epoxybutane, 1,2-",NA,"","Resp",FALSE,FALSE,FALSE,FALSE
"67-17-5","Ethanol","Ethanol specific",NA,"Ethanol specific",NA,NA,NA,NA
"110-80-5","Ethoxyethanol, 2- (ethylene glycol monoethyl ether)","Repro","Repro, Blood","Repro",FALSE,FALSE,FALSE,FALSE
"141-78-6","Ethyl Acetate","Ethanol specific","Systemic","Ethanol specific",NA,NA,NA,NA
"140-88-5","Ethyl Acrylate",NA,"Resp",NA,FALSE,FALSE,FALSE,FALSE
"100-41-4","Ethyl benzene","Repro","Auditory","Repro",FALSE,FALSE,FALSE,TRUE
"51-79-6","Ethyl carbamate (Urethane)",NA,"",NA,FALSE,FALSE,FALSE,TRUE
"75-00-3","Ethyl chloride (Chloroethane)","Repro","Repro","Repro",FALSE,FALSE,FALSE,FALSE
"97-63-2","Ethyl Methacrylate",NA,"Repro","Repro",FALSE,FALSE,FALSE,TRUE
"106-93-4","Ethylene dibromide (Dibromoethane)",NA,"","Resp",FALSE,FALSE,FALSE,TRUE
"107-06-2","Ethylene dichloride (1,2-Dichloroethane)",NA,"Neuro","Liver",FALSE,FALSE,FALSE,FALSE
"107-21-1","Ethylene glycol",NA,"","Resp, Kidney",FALSE,FALSE,FALSE,FALSE
"75-21-8","Ethylene oxide",NA,"","Neuro",FALSE,FALSE,FALSE,FALSE
"96-45-7","Ethylene thiourea",NA,"",NA,FALSE,FALSE,FALSE,FALSE
"75-34-3","Ethylidene dichloride (1,1-Dichloroethane)",NA,"",NA,FALSE,FALSE,FALSE,FALSE
"206-44-0","Fluoranthene",NA,"",NA,FALSE,FALSE,FALSE,FALSE
"1101","Fluorides (except hydrogen fluoride)",NA,"","Bone/Teeth, Resp",FALSE,FALSE,FALSE,FALSE
"50-00-0","Formaldehyde","Resp , Eyes","","Resp",FALSE,FALSE,FALSE,FALSE
"64-18-6","Formic Acid",NA,"Blood",NA,FALSE,FALSE,FALSE,FALSE
"64-16-6","Formic Acid","Ethanol specific",NA,NA,NA,NA,NA,NA
"98-01-0","Furfural","Ethanol specific",NA,"Ethanol specific",NA,NA,NA,NA
"111-30-8","Glutaraldehyde",NA,"","Resp",FALSE,FALSE,FALSE,FALSE
"0-01-2","Glycol ethers","Repro","Repro, Blood","Repro",FALSE,FALSE,TRUE,FALSE
"76-44-8","Heptachlor",NA,"",NA,FALSE,FALSE,FALSE,FALSE
"1024-57-3","Heptachlor epoxide",NA,"",NA,FALSE,FALSE,FALSE,FALSE
"35822-46-9","Heptachlorodibenzo-p-dioxin, 1,2,3,4,6,7,8-",NA,"","Liver, Repro, Resp, Blood",TRUE,TRUE,FALSE,FALSE
"00-08-5","Heptachlorodibenzodioxin, All Isomers",NA,"","Liver, Repro, Resp, Blood",TRUE,TRUE,FALSE,FALSE
"67562-39-4","Heptachlorodibenzofuran, 1,2,3,4,6,7,8-",NA,"","Liver, Repro, Resp, Blood",TRUE,TRUE,FALSE,FALSE
"55673-89-7","Heptachlorodibenzofuran, 1,2,3,4,7,8,9-",NA,"","Liver, Repro, Resp, Blood",TRUE,TRUE,FALSE,FALSE
"00-08-4","Heptachlorodibenzofuran, All Isomers",NA,"","Liver, Repro, Resp, Blood",TRUE,TRUE,FALSE,FALSE
"118-74-1","Hexachlorobenzene",NA,"",NA,TRUE,TRUE,FALSE,FALSE
"87-68-3","Hexachlorobutadiene",NA,"",NA,FALSE,FALSE,FALSE,FALSE
"608-73-1","Hexachlorocyclohexane (technical grade)",NA,"",NA,FALSE,FALSE,FALSE,FALSE
"319-84-6","Hexachlorocyclohexane, alpha-",NA,"",NA,FALSE,FALSE,FALSE,FALSE
"319-85-7","Hexachlorocyclohexane, beta-1,2,3,4,5,6-",NA,"",NA,FALSE,FALSE,FALSE,FALSE
"77-47-4","Hexachlorocyclopentadiene",NA,"","Resp",FALSE,FALSE,FALSE,FALSE
"39227-28-6","Hexachlorodibenzo-p-dioxin, 1,2,3,4,7,8-",NA,"","Liver, Repro, Resp, Blood",TRUE,TRUE,FALSE,FALSE
"57653-85-7","Hexachlorodibenzo-p-dioxin, 1,2,3,6,7,8-",NA,"","Liver, Repro, Resp, Blood",TRUE,TRUE,FALSE,FALSE
"19408-74-3","Hexachlorodibenzo-p-dioxin, 1,2,3,7,8,9-",NA,"","Liver, Repro, Resp, Blood",TRUE,TRUE,FALSE,FALSE
"00-08-3","Hexachlorodibenzodioxins, All Isomers",NA,"","Liver, Repro, Resp, Blood",TRUE,TRUE,FALSE,FALSE
"70648-26-9","Hexachlorodibenzofuran, 1,2,3,4,7,8-",NA,"","Liver, Repro, Resp, Blood",TRUE,TRUE,FALSE,FALSE
"57117-44-9","Hexachlorodibenzofuran, 1,2,3,6,7,8-",NA,"","Liver, Repro, Resp, Blood",TRUE,TRUE,FALSE,FALSE
"72918-21-9","Hexachlorodibenzofuran, 1,2,3,7,8,9-",NA,"","Liver, Repro, Resp, Blood",TRUE,TRUE,FALSE,FALSE
"60851-34-5","Hexachlorodibenzofuran, 2,3,4,6,7,8-",NA,"","Liver, Repro, Resp, Blood",TRUE,TRUE,FALSE,FALSE
"00-08-2","Hexachlorodibenzofurans, All Isomers",NA,"","Liver, Repro, Resp, Blood",TRUE,TRUE,FALSE,FALSE
"67-72-1","Hexachloroethane",NA,"","Neuro",FALSE,FALSE,FALSE,FALSE
"822-06-0","Hexamethylene-1,6-diisocyanate",NA,"","Resp",FALSE,FALSE,FALSE,FALSE
"110-54-3","Hexane",NA,"Neuro","Neuro, Resp",FALSE,FALSE,TRUE,FALSE
"591-78-6","Hexanone-2",NA,"","Neuro",FALSE,FALSE,FALSE,FALSE
"302-01-2","Hydrazine",NA,"Blood","Digest, Repro",FALSE,FALSE,FALSE,FALSE
"10034-93-2","Hydrazine sulfate",NA,"",NA,FALSE,FALSE,FALSE,FALSE
"7647-01-0","Hydrochloric acid (hydrogen chloride)","Resp , Eyes","","Resp",FALSE,FALSE,FALSE,FALSE
"74-90-8","Hydrogen cyanide","Neuro","","Neuro, Repro",FALSE,FALSE,FALSE,FALSE
"7664-39-3","Hydrogen fluoride (Hydrofluoric acid)","Resp","","Bone/Teeth, Resp",FALSE,FALSE,FALSE,FALSE
"7783-07-5","Hydrogen selenide","Resp , Eyes","",NA,FALSE,FALSE,FALSE,FALSE
"7783-06-4","Hydrogen sulfide","Resp","Resp","Resp",FALSE,FALSE,FALSE,FALSE
"193-39-5","Indeno(1,2,3-cd)pyrene",NA,"",NA,FALSE,FALSE,FALSE,FALSE
"121-51-3","Isoamyl","Ethanol specific",NA,"Ethanol specific",NA,NA,NA,NA
"78-59-1","Isophorone",NA,"","Kidney, Digest, Repro",TRUE,TRUE,FALSE,FALSE
"67-63-0","Isopropyl alcohol","Resp , Eyes","Neuro","Repro, Kidney",FALSE,FALSE,FALSE,FALSE
"50-21-5","Lactic Acid","Ethanol specific",NA,"Ethanol specific",NA,NA,NA,NA
"7439-92-1","Lead",NA,"Repro, Cardio, Neuro","Repro, Neuro, Cardio",FALSE,FALSE,FALSE,FALSE
"7758-97-6","Lead Chromate",NA,"Resp","Resp",TRUE,TRUE,FALSE,FALSE
"0-01-3","Lead Compounds",NA,"Repro, Cardio, Neuro","Repro, Neuro, Cardio",FALSE,FALSE,FALSE,FALSE
"58-89-9","Lindane (all isomers)",NA,"",NA,TRUE,TRUE,FALSE,FALSE
"00-07-8","m- and p-Xylenes","Resp , Eyes , Neuro","","Neuro, Resp",FALSE,FALSE,FALSE,FALSE
"108-31-6","Maleic anhydride",NA,"","Resp",FALSE,FALSE,FALSE,FALSE
"7439-96-5","Manganese",NA,"","Neuro",FALSE,FALSE,TRUE,FALSE
"0-01-4","Manganese Compounds",NA,"","Neuro",FALSE,FALSE,FALSE,FALSE
"1313-13-9","Manganese Dioxide",NA,"","Neuro",FALSE,FALSE,FALSE,FALSE
"7439-97-6","Mercury (elemental)","Repro , Neuro","","Neuro",FALSE,FALSE,FALSE,FALSE
"0-02-3","Mercury Compounds","Repro , Neuro","","Neuro",TRUE,TRUE,FALSE,TRUE
"126-98-7","Methacrylonitrile",NA,"Liver","Liver",TRUE,TRUE,FALSE,TRUE
"67-56-1","Methanol","Neuro","","Repro",FALSE,FALSE,FALSE,FALSE
"109-86-4","Methoxyethanol, 2- (ethylene glycol monomethyl ether EGME)","Repro","Repro, Blood","Repro",FALSE,FALSE,FALSE,FALSE
"96-33-3","Methyl acrylate",NA,"Resp","Resp",FALSE,FALSE,FALSE,TRUE
"74-83-9","Methyl bromide (Bromomethane)","Neuro","Resp","Resp",FALSE,FALSE,FALSE,FALSE
"110-49-6","Methyl Cellosolve Acetate",NA,"Repro","Repro",FALSE,FALSE,FALSE,FALSE
"74-87-3","Methyl chloride (Chloromethane)",NA,"Systemic","Neuro",FALSE,FALSE,FALSE,FALSE
"71-55-6","Methyl chloroform (1,1,1-Trichloroethane)","Neuro","Liver","Liver",FALSE,FALSE,FALSE,FALSE
"78-93-3","Methyl ethyl ketone (2-Butanone)","Resp , Eyes","","Repro",FALSE,FALSE,FALSE,FALSE
"60-34-4","Methyl Hydrazine",NA,"Liver",NA,FALSE,FALSE,FALSE,FALSE
"108-10-1","Methyl isobutyl ketone (Hexone)",NA,"","Repro",FALSE,FALSE,FALSE,FALSE
"624-83-9","Methyl isocyanate",NA,"","Repro, Resp",FALSE,FALSE,FALSE,FALSE
"80-62-6","Methyl methacrylate",NA,"","Resp",FALSE,FALSE,FALSE,FALSE
"1634-04-4","Methyl tert butyl ether",NA,"","Liver, Kidney",FALSE,FALSE,FALSE,FALSE
"56-49-5","Methylcholanthrene, 3-",NA,"",NA,FALSE,FALSE,FALSE,FALSE
"3697-24-3","Methylchrysene, 5-",NA,"",NA,TRUE,TRUE,FALSE,FALSE
"101-14-4","Methylene bis(2-chloroaniline), 4,4-",NA,"",NA,FALSE,TRUE,FALSE,FALSE
"74-95-3","Methylene Bromide",NA,"",NA,FALSE,FALSE,FALSE,FALSE
"75-09-2","Methylene chloride (Dichloromethane)","Neuro","","Liver",FALSE,FALSE,FALSE,FALSE
"101-68-8","Methylene diphenyl diisocyanate (MDI)",NA,"","Resp",FALSE,FALSE,FALSE,FALSE
"101-77-9","Methylenedianiline, 4,4-",NA,"","Eyes, Digest",FALSE,FALSE,TRUE,FALSE
"90-94-8","Michler's ketone",NA,"",NA,FALSE,FALSE,FALSE,FALSE
"10595-95-6","N- Nitrosomethylethylamine",NA,"",NA,FALSE,FALSE,FALSE,FALSE
"924-16-3","N-Nitrosodi-n-butylamine",NA,"",NA,FALSE,FALSE,FALSE,FALSE
"621-64-7","N-Nitrosodi-n-propylamine",NA,"",NA,FALSE,FALSE,FALSE,FALSE
"55-18-5","N-Nitrosodiethylamine",NA,"",NA,FALSE,FALSE,FALSE,FALSE
"62-75-9","N-Nitrosodimethylamine",NA,"",NA,FALSE,FALSE,FALSE,FALSE
"86-30-6","N-Nitrosodiphenylamine",NA,"",NA,FALSE,FALSE,FALSE,FALSE
"59-89-2","N-Nitrosomorpholine",NA,"",NA,FALSE,FALSE,FALSE,FALSE
"100-75-4","N-Nitrosopiperidine",NA,"",NA,FALSE,FALSE,FALSE,FALSE
"111-84-2","N-Nonane",NA,"Systemic","Systemic",FALSE,FALSE,FALSE,FALSE
"64724-95-6","Naphtha, High Flash Aromatic (HFAN)",NA,"Repro","Repro",FALSE,FALSE,FALSE,FALSE
"91-20-3","Naphthalene","Resp","","Resp",FALSE,FALSE,FALSE,TRUE
"193-09-9","Naphtho[2,3-e]pyrene",NA,"",NA,FALSE,FALSE,FALSE,FALSE
"7440-02-0","Nickel","Resp","","Resp, Blood",FALSE,FALSE,FALSE,FALSE
"0-01-5","Nickel Compounds","Resp","","Resp, Blood",FALSE,FALSE,TRUE,FALSE
"1313-99-1","Nickel oxide","Resp","","Resp, Blood",FALSE,FALSE,TRUE,FALSE
